"","resp","block","m_RAR","h_RAR","n_looks_RAR","reject_adj_1","reject_adj_2","reject_adj_3","sd_reject_adj_1","sd_reject_adj_2","sd_reject_adj_3","reject_adj","reject_adj_al_2","reject_adj_s_1","reject_adj_s_2","reject_adj_s_3","ASN_target_pbo","ASN_target_1","ASN_target_2","ASN_target_3","ASN_s_1","ASN_s_2","ASN_s_3","ASN_s_sig_1","ASN_s_sig_2","ASN_s_sig_3","ASN_pbo","ASN_1","ASN_2","ASN_3","reject_unadj_1","reject_unadj_2","reject_unadj_3","bias_1","bias_2","bias_3","bias_4","selected_dose_1","selected_dose_2","selected_dose_3","n_total_RAR"
"1","0, 0, 0, 0","8, 4, 4, 4","60","1","60","0.00932","0.00964","0.00961","0.0960897","0.0977096","0.09755892","0.02461","0.00326","0.00808","0.00823","0.0083","39","27","27","27","26.98369","27.04682","26.97844","27.01288","27.04253","26.82726","38.99105","27.04579","27.23086","26.98554","0.02446","0.02491","0.02484","0.0002442376","0.1557606","-0.01178281","-0.1453824","0.32976","0.33678","0.33346","120"
"2","0, 0, 0, 0","8, 5, 4, 3","60","1","60","0.00913","0.00924","0.00915","0.09511432","0.09568027","0.09521748","0.02394","0.00307","0.0079","0.00809","0.00795","39","30","27","24","29.00433","26.84532","25.16218","29.53669","27.05303","24.65792","38.98817","29.61772","29.54388","29.60503","0.02383","0.0236","0.02346","0.0001471366","0.1445124","-0.02023903","-0.1570144","0.33135","0.33412","0.33453","120"
"3","0, 0, 0, 0","8, 7, 4, 1","60","1","60","0.00866","0.00851","0.0085","0.09265576","0.09185676","0.09180324","0.02272","0.00264","0.00771","0.00748","0.00753","39","36","27","18","33.08102","26.51582","21.4014","34.77367","26.81786","19.36471","39.00176","34.97147","34.95321","34.81806","0.02209","0.02207","0.02181","-0.0002092837","0.1260206","-0.0388067","-0.1903515","0.33152","0.33327","0.33521","120"
"4","0, 0, 0, 0","8, 5, 5, 2","60","1","60","0.00934","0.00941","0.0095","0.09619177","0.09654815","0.09700435","0.02439","0.00339","0.00805","0.0082","0.00814","39","30","30","21","29.45144","27.82626","23.73189","29.93255","28.59299","22.39684","38.99041","29.92919","29.95732","29.92875","0.02401","0.02364","0.02464","-3.018626e-05","0.145284","-0.02512368","-0.173699","0.33184","0.33414","0.33402","120"
"5","0, 0, 0, 0","9, 9, 1, 1","60","1","60","0.00809","0.00755","0.00738","0.08958031","0.08656253","0.08558977","0.02134","0.00148","0.00756","0.00699","0.00679","42","42","18","18","35.62591","22.2896","20.08017","39.79234","19.81722","18.30352","42.00432","40.10847","40.16595","40.11046","0.0201","0.01981","0.01927","-0.0003573079","0.1069327","-0.05201648","-0.1819389","0.33479","0.33324","0.33197","120"
"6","1, 1, 1, 1","8, 4, 4, 4","60","1","60","0.00994","0.00991","0.01007","0.0992033","0.09905498","0.09984335","0.02551","0.00363","0.00848","0.00842","0.00861","39","27","27","27","26.98766","27.03743","26.9975","27.01107","26.95661","27.02284","38.97741","27.00118","27.02613","27.04646","0.02465","0.02516","0.02561","-0.0001922884","0.1569525","-0.01032995","-0.1453893","0.33292","0.33406","0.33302","120"
"7","1, 1, 1, 1","8, 5, 4, 3","60","1","60","0.01002","0.00915","0.00959","0.09959768","0.09521748","0.09745833","0.02474","0.00339","0.0086","0.00789","0.00825","39","30","27","24","28.49545","26.97037","25.54442","28.97106","26.96284","25","38.98976","29.06744","29.15716","29.17576","0.0241","0.02416","0.02445","-0.0002532112","0.148293","-0.01680604","-0.1558825","0.33411","0.33185","0.33404","120"
"8","1, 1, 1, 1","8, 7, 4, 1","60","1","60","0.00861","0.00847","0.00889","0.09239022","0.09164247","0.09386723","0.02249","0.003","0.00743","0.00734","0.00772","39","36","27","18","31.58664","26.9195","22.50082","33.33449","27.21842","20.24972","38.99304","33.64468","33.49183","34.04793","0.02167","0.02168","0.02206","0.0001408731","0.1327542","-0.03100268","-0.1842688","0.33442","0.33338","0.3322","120"
"9","1, 1, 1, 1","8, 5, 5, 2","60","1","60","0.00978","0.00939","0.00943","0.0984096","0.09644647","0.09664972","0.02464","0.0034","0.00854","0.00806","0.00804","39","30","30","21","29.09287","27.51545","24.39029","29.56544","28","23.50265","39.00139","29.60656","29.81141","29.78856","0.02438","0.02494","0.02451","-4.809904e-05","0.146746","-0.02020296","-0.1694714","0.33306","0.33341","0.33353","120"
"10","1, 1, 1, 1","9, 9, 1, 1","60","1","60","0.00806","0.0071","0.00754","0.08941541","0.08396226","0.08650563","0.02006","0.00221","0.00705","0.00626","0.00675","42","42","18","18","32.16704","24.40717","21.42414","36.81638","21.78732","19.14456","42.00165","37.52624","37.37061","37.77926","0.01993","0.01906","0.01962","0.0004418733","0.125797","-0.03657085","-0.1820619","0.33215","0.33223","0.33562","120"
"11","0, 0, 0, 0","8, 4, 4, 4","20","1","20","0.01025","0.00959","0.00966","0.1007226","0.09745833","0.09780992","0.02481","0.00381","0.00861","0.00799","0.00821","13","9","9","9","8.99068","9.03477","8.97957","9.026341","9.055266","8.973085","12.99498","8.995354","8.987484","9.096224","0.02529","0.02439","0.02467","0.001152746","0.2735209","-0.01958111","-0.2531295","0.33263","0.33171","0.33566","40"
"12","0, 0, 0, 0","8, 5, 4, 3","20","1","20","0.00985","0.00927","0.00915","0.09875766","0.09583402","0.09521748","0.02401","0.00364","0.00841","0.00785","0.00775","13","10","9","8","9.64536","8.97577","8.3826","9.859898","9.113269","8.155191","12.99627","9.840666","9.864968","9.837419","0.02448","0.02403","0.02292","0.0008502117","0.2540531","-0.03417691","-0.2746922","0.33289","0.33304","0.33407","40"
"13","0, 0, 0, 0","8, 7, 4, 1","20","1","20","0.00828","0.00835","0.00874","0.09061746","0.09099649","0.09307899","0.02192","0.003","0.00701","0.00728","0.00763","13","12","9","6","10.97413","8.85143","7.1843","11.53865","9.071856","6.526316","12.99014","11.62054","11.61401","11.60157","0.02108","0.02143","0.02156","0.0008237224","0.2201876","-0.06790269","-0.3260936","0.33271","0.33202","0.33527","40"
"14","0, 0, 0, 0","8, 5, 5, 2","20","1","20","0.00994","0.00964","0.00947","0.0992033","0.0977096","0.09685253","0.02485","0.0037","0.00844","0.00819","0.00822","13","10","10","7","9.79433","9.28906","7.9202","9.969819","9.595436","7.504752","12.99641","9.93128","10.00244","10.01946","0.02503","0.02393","0.02378","0.001025173","0.2547539","-0.04282349","-0.3008463","0.33177","0.3343","0.33393","40"
"15","0, 0, 0, 0","9, 9, 1, 1","20","1","20","0.00717","0.00751","0.00747","0.08437217","0.08633467","0.08610617","0.02035","0.00159","0.00661","0.0069","0.00684","14","14","6","6","11.76034","7.50558","6.73895","13.07252","6.961385","6.072289","13.99513","13.2239","13.1913","13.19298","0.01884","0.01925","0.01934","0.0005825229","0.1877734","-0.08866686","-0.3152675","0.33115","0.33296","0.33589","40"
"16","1, 1, 1, 1","8, 4, 4, 4","20","1","20","0.00995","0.00994","0.01005","0.09925269","0.0992033","0.09974516","0.02532","0.00377","0.00844","0.00833","0.00855","13","9","9","9","8.99649","9.03285","8.97204","9.029146","9.142857","8.960199","12.99862","8.972749","9.037215","8.974269","0.02491","0.02529","0.02494","-0.0006408923","0.2745893","-0.02060883","-0.2542208","0.33425","0.33373","0.33202","40"
"17","1, 1, 1, 1","8, 5, 4, 3","20","1","20","0.0094","0.00953","0.00935","0.09649732","0.09715592","0.09624277","0.02408","0.00343","0.00809","0.00801","0.00798","13","10","9","8","9.47153","9.02095","8.51126","9.706383","9.142707","8.343316","12.99626","9.673671","9.70412","9.734336","0.02377","0.02391","0.02348","-0.0004616376","0.2595715","-0.0309626","-0.2725911","0.33403","0.33518","0.33079","40"
"18","1, 1, 1, 1","8, 7, 4, 1","20","1","20","0.00845","0.00914","0.00893","0.09153514","0.09516591","0.09407626","0.02288","0.00304","0.00733","0.00781","0.00774","13","12","9","6","10.47054","9.02405","7.51103","10.98225","9.190372","6.834267","12.99438","11.00682","11.23431","11.18217","0.02127","0.02244","0.02161","-0.000696611","0.2335176","-0.05438388","-0.3229346","0.33194","0.33363","0.33443","40"
"19","1, 1, 1, 1","8, 5, 5, 2","20","1","20","0.00949","0.00939","0.00975","0.09695377","0.09644647","0.09826003","0.02458","0.00344","0.00825","0.00789","0.00844","13","10","10","7","9.6715","9.21034","8.11626","9.94942","9.582535","7.689231","13.0019","9.933333","9.889734","9.93128","0.02449","0.02387","0.02378","-0.000449907","0.2562485","-0.03721564","-0.2960626","0.33393","0.3338","0.33227","40"
"20","1, 1, 1, 1","9, 9, 1, 1","20","1","20","0.00749","0.00798","0.00775","0.0862205","0.08897415","0.08769273","0.02034","0.00235","0.00653","0.00693","0.00688","14","14","6","6","10.69799","8.16108","7.13689","12.11081","7.614035","6.460645","14.00404","12.32006","12.20491","12.19622","0.01826","0.01858","0.01875","0.0006392345","0.2205823","-0.06795195","-0.3180687","0.33237","0.33385","0.33378","40"
